ticker,name,reason
3BBLACKBIO,3B Blackbio Dx Limited,yfinance returned no sector/industry (empty .info fields)
3PLAND,3P Land Holdings Ltd,yfinance returned no sector/industry (empty .info fields)
AARNAV,Aarnav Fashions Limited,yfinance returned no sector/industry (empty .info fields)
ABMKNO,ABM Knowledgeware Limited,yfinance returned no sector/industry (empty .info fields)
ACSTECH,ACS Technologies Limited,yfinance returned no sector/industry (empty .info fields)
AKCAPIT,A. K. Capital Services Limited,yfinance returned no sector/industry (empty .info fields)
ARTEMISMED,Artemis Medicare Services Limited,yfinance returned no sector/industry (empty .info fields)
ASHIKA,Ashika Global Securities Limited,yfinance returned no sector/industry (empty .info fields)
ASTAR,Asian Star Company Limited,yfinance returned no sector/industry (empty .info fields)
BAJAJST,Bajaj Steel Industries Limited,yfinance returned no sector/industry (empty .info fields)
BEEKAY,Beekay Steel Industries Limited,yfinance returned no sector/industry (empty .info fields)
BENGALASM,Bengal & Assam Company Limited,yfinance returned no sector/industry (empty .info fields)
BI,Bilcare Limited,yfinance returned no sector/industry (empty .info fields)
BIRLAPREC,Birla Precision Technologies Limited,yfinance returned no sector/industry (empty .info fields)
BLIL,Balmer Lawrie Investments Limited,yfinance returned no sector/industry (empty .info fields)
BNALTD,B & A Limited,yfinance returned no sector/industry (empty .info fields)
COMFINTE,Comfort Intech Limited,yfinance returned no sector/industry (empty .info fields)
DECNGOLD,Deccan Gold Mines Limited,yfinance returned no sector/industry (empty .info fields)
DISAQ,DISA India Limited,yfinance returned no sector/industry (empty .info fields)
DRAGARWQ,Dr. Agarwal's Eye Hospital Limited,yfinance returned no sector/industry (empty .info fields)
ELCIDIN,Elcid Investments Limited,yfinance returned no sector/industry (empty .info fields)
ELITECON,Elitecon International Limited,yfinance returned no sector/industry (empty .info fields)
ELPROINTL,Elpro International Limited,yfinance returned no sector/industry (empty .info fields)
FEDDERSHOL,Fedders Holding Limited,yfinance returned no sector/industry (empty .info fields)
FERMENTA,Fermenta Biotech Limited,yfinance returned no sector/industry (empty .info fields)
FRONTSP,Frontier Springs Limited,yfinance returned no sector/industry (empty .info fields)
GNRL,Gujarat Natural Resources Limited,yfinance returned no sector/industry (empty .info fields)
GRANDOAK,Grand Oak Canyons Distillery Limited,yfinance returned no sector/industry (empty .info fields)
GRAVISSHO,Graviss Hospitality Limited,yfinance returned no sector/industry (empty .info fields)
GUJRAFFIA,Gujarat Raffia Industries Limited,yfinance returned no sector/industry (empty .info fields)
HBESD,HB Estate Developers Limited,yfinance returned no sector/industry (empty .info fields)
INDPRUD,Industrial And Prudential Investment Company Limited,yfinance returned no sector/industry (empty .info fields)
INVPRECQ,Investment & Precision Castings Limited,yfinance returned no sector/industry (empty .info fields)
IWP,The Indian Wood Products Company Limited,yfinance returned no sector/industry (empty .info fields)
JSWDULUX,JSW Dulux Limited,yfinance returned no sector/industry (empty .info fields)
KAMAHOLD,KAMA Holdings Limited,yfinance returned no sector/industry (empty .info fields)
KIRANVYPAR,Kiran Vyapar Limited,yfinance returned no sector/industry (empty .info fields)
KLBRENG-B,Kilburn Engineering Limited,yfinance returned no sector/industry (empty .info fields)
KOTIC,Kothari Industrial Corporation Limited,yfinance returned no sector/industry (empty .info fields)
KPL,Kwality Pharmaceuticals Limited,yfinance returned no sector/industry (empty .info fields)
LAHOTIOV,Lahoti Overseas Limited,yfinance returned no sector/industry (empty .info fields)
MADHAVIPL,Madhav Infra Projects Limited,yfinance returned no sector/industry (empty .info fields)
MAFATIND,Mafatlal Industries Limited,yfinance returned no sector/industry (empty .info fields)
MCCHRLS-B,Mac Charles (India) Limited,yfinance returned no sector/industry (empty .info fields)
MENNPIS,Menon Pistons Limited,yfinance returned no sector/industry (empty .info fields)
MERCANTILE,Mercantile Ventures Limited,yfinance returned no sector/industry (empty .info fields)
NATIONSTD,National Standard (India) Limited,yfinance returned no sector/industry (empty .info fields)
NEAGI,Neelamalai Agro Industries Limited,yfinance returned no sector/industry (empty .info fields)
NILE,Nile Limited,yfinance returned no sector/industry (empty .info fields)
PIONRINV,Pioneer Investcorp Limited,yfinance returned no sector/industry (empty .info fields)
PML,Paul Merchants Limited,yfinance returned no sector/industry (empty .info fields)
PRAVEG,Praveg Limited,yfinance returned no sector/industry (empty .info fields)
PREMCO,Premco Global Limited,yfinance returned no sector/industry (empty .info fields)
QUINT,Quint Digital Limited,yfinance returned no sector/industry (empty .info fields)
RAJPALAYAM,Rajapalayam Mills Limited,yfinance returned no sector/industry (empty .info fields)
RRIL,RRIL Limited,yfinance returned no sector/industry (empty .info fields)
RSDFIN,RSD Finance Limited,yfinance returned no sector/industry (empty .info fields)
SAPPL,Shree Ajit Pulp and Paper Limited,yfinance returned no sector/industry (empty .info fields)
SCANSTL,Scan Steels Limited,yfinance returned no sector/industry (empty .info fields)
SEIL,Shanti Educational Initiatives Limited,yfinance returned no sector/industry (empty .info fields)
SHBAJRG,Shri Bajrang Alliance Limited,yfinance returned no sector/industry (empty .info fields)
SHINDL,Sharat Industries Limited,yfinance returned no sector/industry (empty .info fields)
SHRIKRISH,Shri Krishna Devcon Limited,yfinance returned no sector/industry (empty .info fields)
SIKA,Sika Interplant Systems Limited,yfinance returned no sector/industry (empty .info fields)
SINGERIND,Singer India Limited,yfinance returned no sector/industry (empty .info fields)
SONAL,Sonal Mercantile Limited,yfinance returned no sector/industry (empty .info fields)
SURYALA,Suryalata Spinning Mills Limited,yfinance returned no sector/industry (empty .info fields)
TAALTECH,TAAL Tech Limited,yfinance returned no sector/industry (empty .info fields)
TCC,TCC Concept Limited,yfinance returned no sector/industry (empty .info fields)
TECHNVISN,TechNVision Ventures Limited,yfinance returned no sector/industry (empty .info fields)
THAKDEV,Thakkers Developers Limited,yfinance returned no sector/industry (empty .info fields)
WELSPLSOL,Welspun Specialty Solutions Limited,yfinance returned no sector/industry (empty .info fields)
WPIL,WPIL Limited,yfinance returned no sector/industry (empty .info fields)
ZSARACOM,Saraswati Commercial (India) Limited,yfinance returned no sector/industry (empty .info fields)
GANGAFO-RE,GANGA FORGING LTD,yfinance returned no sector/industry (empty .info fields)
SUMEET-RE,SUMEET INDUSTRIES LTD,yfinance returned no sector/industry (empty .info fields)
ABANSENT,ABans Enterprises Limited,yfinance returned no sector/industry (empty .info fields)
BLACKROSE,Black Rose Industries Limited,yfinance returned no sector/industry (empty .info fields)
BNAGROCHEM,BN Agrochem Limited,yfinance returned no sector/industry (empty .info fields)
DAICHI,Dai-ichi Karkaria Limited,yfinance returned no sector/industry (empty .info fields)
EMPOWER,Empower India Limited,yfinance returned no sector/industry (empty .info fields)
HALDYNGL,Haldyn Glass Limited,yfinance returned no sector/industry (empty .info fields)
KANCHI,Kanchi Karpooram Limited,yfinance returned no sector/industry (empty .info fields)
NIMBSPROJ,Nimbus Projects Limited,yfinance returned no sector/industry (empty .info fields)
PRADPME,Pradeep Metals Limited,yfinance returned no sector/industry (empty .info fields)
TAMBOLIIN,Tamboli Industries Limited,yfinance returned no sector/industry (empty .info fields)
THACKER,Thacker and Company Limited,yfinance returned no sector/industry (empty .info fields)
VELJAN,Veljan Denison Limited,yfinance returned no sector/industry (empty .info fields)
ZODIAC,Zodiac Energy Limited,yfinance returned no sector/industry (empty .info fields)
